instant,date,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_users,hour_interval
1,2011-01-01,spring,2011,January,0,no,saturday,no,1,0.24,0.2879,0.81,0.0,3,13,16,0 - 1
2,2011-01-01,spring,2011,January,1,no,saturday,no,1,0.22,0.2727,0.8,0.0,8,32,40,1 - 2
3,2011-01-01,spring,2011,January,2,no,saturday,no,1,0.22,0.2727,0.8,0.0,5,27,32,2 - 3
4,2011-01-01,spring,2011,January,3,no,saturday,no,1,0.24,0.2879,0.75,0.0,3,10,13,3 - 4
5,2011-01-01,spring,2011,January,4,no,saturday,no,1,0.24,0.2879,0.75,0.0,0,1,1,4 - 5
6,2011-01-01,spring,2011,January,5,no,saturday,no,2,0.24,0.2576,0.75,0.0896,0,1,1,5 - 6
7,2011-01-01,spring,2011,January,6,no,saturday,no,1,0.22,0.2727,0.8,0.0,2,0,2,6 - 7
8,2011-01-01,spring,2011,January,7,no,saturday,no,1,0.2,0.2576,0.86,0.0,1,2,3,7 - 8
9,2011-01-01,spring,2011,January,8,no,saturday,no,1,0.24,0.2879,0.75,0.0,1,7,8,8 - 9
10,2011-01-01,spring,2011,January,9,no,saturday,no,1,0.32,0.3485,0.76,0.0,8,6,14,9 - 10
11,2011-01-01,spring,2011,January,10,no,saturday,no,1,0.38,0.3939,0.76,0.2537,12,24,36,10 - 11
12,2011-01-01,spring,2011,January,11,no,saturday,no,1,0.36,0.3333,0.81,0.2836,26,30,56,11 - 12
13,2011-01-01,spring,2011,January,12,no,saturday,no,1,0.42,0.4242,0.77,0.2836,29,55,84,12 - 13
14,2011-01-01,spring,2011,January,13,no,saturday,no,2,0.46,0.4545,0.72,0.2985,47,47,94,13 - 14
15,2011-01-01,spring,2011,January,14,no,saturday,no,2,0.46,0.4545,0.72,0.2836,35,71,106,14 - 15
16,2011-01-01,spring,2011,January,15,no,saturday,no,2,0.44,0.4394,0.77,0.2985,40,70,110,15 - 16
17,2011-01-01,spring,2011,January,16,no,saturday,no,2,0.42,0.4242,0.82,0.2985,41,52,93,16 - 17
18,2011-01-01,spring,2011,January,17,no,saturday,no,2,0.44,0.4394,0.82,0.2836,15,52,67,17 - 18
19,2011-01-01,spring,2011,January,18,no,saturday,no,3,0.42,0.4242,0.88,0.2537,9,26,35,18 - 19
20,2011-01-01,spring,2011,January,19,no,saturday,no,3,0.42,0.4242,0.88,0.2537,6,31,37,19 - 20
21,2011-01-01,spring,2011,January,20,no,saturday,no,2,0.4,0.4091,0.87,0.2537,11,25,36,20 - 21
22,2011-01-01,spring,2011,January,21,no,saturday,no,2,0.4,0.4091,0.87,0.194,3,31,34,21 - 22
23,2011-01-01,spring,2011,January,22,no,saturday,no,2,0.4,0.4091,0.94,0.2239,11,17,28,22 - 23
24,2011-01-01,spring,2011,January,23,no,saturday,no,2,0.46,0.4545,0.88,0.2985,15,24,39,23 - 24
25,2011-01-02,spring,2011,January,0,no,sunday,no,2,0.46,0.4545,0.88,0.2985,4,13,17,0 - 1
26,2011-01-02,spring,2011,January,1,no,sunday,no,2,0.44,0.4394,0.94,0.2537,1,16,17,1 - 2
27,2011-01-02,spring,2011,January,2,no,sunday,no,2,0.42,0.4242,1.0,0.2836,1,8,9,2 - 3
28,2011-01-02,spring,2011,January,3,no,sunday,no,2,0.46,0.4545,0.94,0.194,2,4,6,3 - 4
29,2011-01-02,spring,2011,January,4,no,sunday,no,2,0.46,0.4545,0.94,0.194,2,1,3,4 - 5
30,2011-01-02,spring,2011,January,6,no,sunday,no,3,0.42,0.4242,0.77,0.2985,0,2,2,6 - 7
31,2011-01-02,spring,2011,January,7,no,sunday,no,2,0.4,0.4091,0.76,0.194,0,1,1,7 - 8
32,2011-01-02,spring,2011,January,8,no,sunday,no,3,0.4,0.4091,0.71,0.2239,0,8,8,8 - 9
33,2011-01-02,spring,2011,January,9,no,sunday,no,2,0.38,0.3939,0.76,0.2239,1,19,20,9 - 10
34,2011-01-02,spring,2011,January,10,no,sunday,no,2,0.36,0.3485,0.81,0.2239,7,46,53,10 - 11
35,2011-01-02,spring,2011,January,11,no,sunday,no,2,0.36,0.3333,0.71,0.2537,16,54,70,11 - 12
